W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
1236    0,003582    0,001471    0,002307    -0,917846    -0,967477    0,787585
1237    0,003731    0,001471    0,002454    -0,916983    -0,970966    0,794928
1238    0,005164    0,001331    0,003993    -0,908362    -0,990232    0,841183
1239    0,004568    0,001039    0,005417    0,779915    -0,992767    -0,849417
1240    0,002627    0,002131    0,001249    -0,882586    -0,596883    0,149584
1241    0,003114    0,001093    0,003826    0,550806    -0,971172    -0,733887
1242    0,003355    0,001530    0,002012    -0,930429    -0,960394    0,791464
1243    0,001533    0,001139    0,001983    0,082102    -0,820166    -0,637531
1244    0,001393    0,001455    0,001907    -0,104007    -0,651219    -0,687043
1245    0,002484    0,002879    0,000938    -0,949450    0,266360    -0,555472
1246    0,001482    0,000521    0,001479    -0,181867    -0,938143    -0,169856
1247    0,001157    0,000663    0,001168    -0,269586    -0,837548    -0,300344
1248    0,001368    0,000866    0,001387    -0,294951    -0,802601    -0,333250
1249    0,002292    0,000585    0,002032    -0,546963    -0,970564    0,329240
1250    0,001336    0,000764    0,001486    -0,078334    -0,858649    -0,443727
1251    0,001672    0,000554    0,001332    -0,717014    -0,957100    0,484276
1252    0,002186    0,002022    0,001307    -0,809846    -0,420191    -0,192050
1253    0,003885    0,001449    0,002738    -0,861090    -0,963137    0,692567
1254    0,001903    0,001549    0,002963    0,468029    -0,886860    -0,823386
1255    0,001354    0,001206    0,001910    0,109933    -0,778443    -0,709487
1256    0,001545    0,001094    0,000984    -0,773337    -0,709331    0,101664
1257    0,001542    0,000816    0,001336    -0,500204    -0,848700    -0,033433
1258    0,001407    0,001586    0,002317    0,196450    -0,741436    -0,803603
1259    0,001687    0,000636    0,001554    -0,388159    -0,926296    0,012296
1260    0,002045    0,001927    0,001152    -0,833321    -0,380953    -0,193650
1261    0,002317    0,001513    0,003345    0,503759    -0,920505    -0,801244
1262    0,001347    0,001922    0,002083    -0,225878    -0,438329    -0,776576
1263    0,003497    0,001719    0,001916    -0,957386    -0,965835    0,849828
1264    0,001653    0,002563    0,001521    -0,824608    0,302471    -0,788626
1265    0,001892    0,001468    0,000982    -0,858889    -0,643238    0,160325
1266    0,001393    0,001111    0,001164    -0,587982    -0,635825    -0,250463
1267    0,001642    0,001703    0,001004    -0,820296    -0,243869    -0,354626
1268    0,001194    0,001196    0,001182    -0,510790    -0,493462    -0,495689
1269    0,002424    0,001382    0,001348    -0,890908    -0,884912    0,576835
1270    0,001728    0,000621    0,001434    -0,613641    -0,939662    0,306494
1271    0,001268    0,000562    0,001129    -0,455662    -0,896252    0,013565
1272    0,001007    0,000550    0,000952    -0,370980    -0,843939    -0,185074
1273    0,001114    0,000836    0,000982    -0,523562    -0,688639    -0,257234
1274    0,002012    0,000757    0,001602    -0,674602    -0,937173    0,374692
1275    0,003275    0,000809    0,002868    -0,595387    -0,974003    0,397904
1276    0,003809    0,000642    0,003964    0,161933    -0,987153    -0,317521
1277    0,003769    0,001133    0,002729    -0,941325    -0,990123    0,884710
1278    0,004047    0,001497    0,002729    -0,921839    -0,977146    0,818385
1279    0,003964    0,000928    0,004224    0,171520    -0,976299    -0,380675
1280    0,003474    0,000985    0,003347    -0,268068    -0,958951    -0,016129
1281    0,005147    0,001318    0,004270    -0,737141    -0,978000    0,579962
1282    0,005263    0,001149    0,004263    -0,897167    -0,992885    0,838188
1283    0,004816    0,000630    0,004888    0,049875    -0,991690    -0,177947
1284    0,004604    0,001005    0,004868    0,161180    -0,979031    -0,358849
1285    0,003976    0,001046    0,004277    0,166887    -0,970515    -0,399626
1286    0,003053    0,000768    0,003438    0,406880    -0,978971    -0,584673
1287    0,002551    0,001727    0,001284    -0,889914    -0,789769    0,423036
1288    0,002578    0,001164    0,001674    -0,866600    -0,937886    0,639647
1289    0,003220    0,001097    0,002383    -0,833821    -0,967175    0,666171
1290    0,002201    0,000906    0,001719    -0,679485    -0,922256    0,343028
1291    0,002161    0,001672    0,001005    -0,893273    -0,663791    0,256748
1292    0,001369    0,001756    0,001875    -0,299968    -0,449194    -0,717548
1293    0,002444    0,002011    0,001208    -0,870496    -0,573912    0,096538
1294    0,003387    0,001485    0,002020    -0,954029    -0,975444    0,864591
1295    0,001937    0,001457    0,001132    -0,813620    -0,663473    0,104814
1296    0,002672    0,001739    0,001274    -0,919108    -0,842944    0,562783
1297    0,002506    0,000507    0,002729    0,357670    -0,984819    -0,514341
1298    0,000997    0,001960    0,001857    -0,355323    -0,161745    -0,864963
1299    0,001074    0,001951    0,001496    -0,649428    0,129026    -0,837860
1300    0,001598    0,002115    0,001205    -0,824767    0,121242    -0,661297
1301    0,001662    0,001392    0,000982    -0,807305    -0,548558    -0,050566
1302    0,003642    0,001557    0,002187    -0,961447    -0,980628    0,888956
1303    0,002830    0,000660    0,002461    -0,639001    -0,978467    0,466475
1304    0,001538    0,000983    0,002294    0,638704    -0,944119    -0,856628
1305    0,002074    0,000883    0,001553    -0,728122    -0,920990    0,403553
1306    0,002828    0,001356    0,001650    -0,927865    -0,951878    0,768924
1307    0,001620    0,000873    0,002005    0,224984    -0,905597    -0,617010
1308    0,001726    0,002599    0,003670    0,416345    -0,765149    -0,903962
1309    0,001913    0,001531    0,002816    0,328722    -0,858143    -0,766969
1310    0,001793    0,000736    0,001262    -0,820053    -0,942636    0,581969
1311    0,001663    0,001244    0,002053    -0,023700    -0,795703    -0,586659
1312    0,001302    0,002394    0,002182    -0,427501    -0,127749    -0,841995
1313    0,001560    0,001888    0,002703    0,222464    -0,732469    -0,826689
1314    0,001211    0,001857    0,001828    -0,349143    -0,307741    -0,784148
1315    0,001182    0,002996    0,002742    -0,402664    0,008805    -0,918858
1316    0,001735    0,001963    0,003339    0,628987    -0,889471    -0,914739
1317    0,001600    0,001025    0,002103    0,247264    -0,881441    -0,675577
1318    0,001784    0,001296    0,001051    -0,812676    -0,695284    0,146222
1319    0,001961    0,002004    0,001623    -0,665012    -0,387203    -0,431081
1320    0,001219    0,001206    0,002113    0,518600    -0,872755    -0,869995
1321    0,001476    0,001705    0,000900    -0,849279    -0,031665    -0,500787
1322    0,001616    0,001499    0,002754    0,562544    -0,892977    -0,874469
1323    0,001409    0,001000    0,001876    0,189480    -0,851996    -0,675500
1324    0,001336    0,000997    0,001306    -0,403319    -0,715406    -0,350824
1325    0,001528    0,000754    0,001091    -0,743208    -0,886722    0,349710
1326    0,001392    0,000908    0,000852    -0,805399    -0,775154    0,249835
1327    0,002387    0,001081    0,001526    -0,879318    -0,941420    0,667205
1328    0,002440    0,001341    0,001367    -0,899002    -0,903014    0,623666
1329    0,002844    0,001263    0,001894    -0,848773    -0,935806    0,607893
1330    0,002448    0,000717    0,002450    -0,143599    -0,957143    -0,149171
1331    0,003521    0,001254    0,002885    -0,639512    -0,942466    0,345715
1332    0,003922    0,000902    0,004305    0,330134    -0,980226    -0,510394
1333    0,003926    0,001441    0,004599    0,323576    -0,955061    -0,589499
1334    0,003618    0,001953    0,004716    0,377798    -0,923614    -0,703855
1335    0,004092    0,000894    0,004501    0,371400    -0,982852    -0,536238
1336    0,002824    0,000741    0,002815    -0,143420    -0,965511    -0,119199
1337    0,003181    0,000770    0,002719    -0,676790    -0,978011    0,508375
1338    0,002677    0,001804    0,001296    -0,905037    -0,805821    0,477434
1339    0,002757    0,001491    0,001450    -0,939478    -0,935918    0,758602
1340    0,003180    0,000765    0,003131    -0,184075    -0,970751    -0,057294
1341    0,001986    0,001431    0,001059    -0,856697    -0,717286    0,255085
1342    0,002151    0,001769    0,001098    -0,860564    -0,572049    0,074514
