W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
935    0,002597    0,000966    0,002145    -0,612691    -0,934592    0,291482
936    0,000887    0,002081    0,002050    -0,248404    -0,180742    -0,907806
937    0,001988    0,000821    0,002567    0,601652    -0,966835    -0,785703
938    0,001805    0,001205    0,000861    -0,912471    -0,819487    0,513281
939    0,000846    0,001616    0,002128    0,438611    -0,730935    -0,933895
940    0,000772    0,000504    0,000718    -0,429223    -0,773722    -0,240099
941    0,002090    0,002452    0,000898    -0,934091    0,223146    -0,556471
942    0,001568    0,001307    0,000789    -0,864887    -0,554934    0,062373
943    0,002563    0,000811    0,002056    -0,722073    -0,962042    0,505868
944    0,003311    0,001092    0,002679    -0,688463    -0,955345    0,443409
945    0,000798    0,001151    0,001778    0,655305    -0,872449    -0,940871
946    0,000940    0,000807    0,001335    0,162814    -0,802656    -0,719167
947    0,002239    0,000651    0,002188    -0,222035    -0,956986    -0,070408
948    0,001270    0,000805    0,001512    0,012738    -0,846717    -0,542785
949    0,000854    0,001333    0,001847    0,396278    -0,748685    -0,905339
950    0,000941    0,001982    0,002526    0,419650    -0,701815    -0,941115
951    0,003067    0,002957    0,001521    -0,873080    -0,318995    -0,183597
952    0,004903    0,002697    0,002677    -0,913112    -0,911750    0,665065
953    0,004484    0,002288    0,002577    -0,911364    -0,930826    0,697897
954    0,001744    0,001313    0,001479    -0,563087    -0,679608    -0,223547
955    0,002589    0,002170    0,001577    -0,794137    -0,548532    -0,072539
956    0,003544    0,000892    0,002999    -0,689865    -0,976565    0,517890
957    0,002291    0,001394    0,001263    -0,876208    -0,846817    0,485655
958    0,003209    0,001139    0,002422    -0,783665    -0,956417    0,568122
959    0,003237    0,001524    0,002040    -0,875530    -0,932602    0,642144
960    0,002000    0,000955    0,001663    -0,561271    -0,879819    0,100437
961    0,003569    0,001375    0,002604    -0,798994    -0,948242    0,566686
962    0,002489    0,000801    0,001951    -0,760029    -0,963751    0,559087
963    0,002979    0,001796    0,001812    -0,823956    -0,827289    0,363316
964    0,003911    0,001121    0,002961    -0,888413    -0,984776    0,795093
965    0,004395    0,001141    0,003438    -0,877249    -0,987220    0,789539
966    0,002968    0,000737    0,002325    -0,902819    -0,990655    0,835731
967    0,002026    0,001188    0,001237    -0,828384    -0,842812    0,396689
968    0,003055    0,001482    0,001864    -0,889558    -0,931659    0,662786
970    0,002875    0,002163    0,001297    -0,905441    -0,706608    0,339433
971    0,003428    0,001968    0,002308    -0,763240    -0,834469    0,280856
972    0,003283    0,001142    0,002836    -0,539048    -0,940719    0,221403
973    0,001999    0,000971    0,001735    -0,496289    -0,874108    0,012120
974    0,003219    0,001231    0,002358    -0,797186    -0,949069    0,566367
975    0,003137    0,001021    0,002596    -0,646277    -0,953882    0,387402
976    0,001585    0,000766    0,002021    0,405533    -0,938033    -0,697174
977    0,002680    0,000424    0,002822    0,263078    -0,989430    -0,400202
978    0,002830    0,000673    0,002756    -0,227715    -0,971323    -0,010333
979    0,003573    0,000634    0,003529    -0,158033    -0,984164    -0,019505
980    0,004069    0,000748    0,003416    -0,895187    -0,995222    0,847396
981    0,004675    0,001272    0,003500    -0,943996    -0,992788    0,897630
982    0,002615    0,001168    0,001828    -0,795298    -0,921922    0,498368
983    0,001266    0,001396    0,001487    -0,379503    -0,495493    -0,615591
984    0,002118    0,001185    0,002817    0,407329    -0,923217    -0,727008
985    0,002379    0,000725    0,002814    0,501381    -0,974820    -0,681697
986    0,002204    0,000776    0,002596    0,373116    -0,960786    -0,615750
987    0,001853    0,000801    0,001609    -0,501089    -0,902408    0,079302
988    0,002278    0,000531    0,002299    -0,078582    -0,973080    -0,153287
989    0,001033    0,000643    0,001076    -0,242583    -0,814844    -0,364699
990    0,001051    0,001028    0,000477    -0,895021    -0,275019    -0,182676
991    0,051854    0,051884    0,103697    0,998430    -0,999607    -0,999608
992    0,086652    0,086718    0,173360    0,999782    -0,999945    -0,999945
993    0,120476    0,121788    0,242243    0,999662    -0,999915    -0,999916
994    0,154729    0,155471    0,310196    0,999946    -0,999987    -0,999987
995    0,187425    0,188662    0,376075    0,999875    -0,999968    -0,999969
996    0,220278    0,220772    0,441046    0,999975    -0,999994    -0,999994
997    0,237310    0,237740    0,475049    0,999989    -0,999997    -0,999997
998    0,266558    0,266790    0,533346    0,999985    -0,999996    -0,999996
999    0,279854    0,279788    0,559640    0,999984    -0,999996    -0,999996
1000    0,292205    0,292286    0,584486    0,999967    -0,999992    -0,999992
1001    0,316813    0,316628    0,633439    0,999989    -0,999997    -0,999997
1002    0,357655    0,357475    0,715117    0,999929    -0,999982    -0,999982
