W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
935    3,549894    1,136131    2,670622    -0,838095    -0,972698    0,688610
936    1,256728    1,816678    1,131090    -0,788482    0,155327    -0,730066
937    3,627190    0,928559    3,923960    0,204677    -0,972804    -0,425836
938    3,469138    1,165850    2,433920    -0,923497    -0,982974    0,837287
939    2,811033    0,620292    2,848893    -0,048885    -0,976067    -0,169496
940    4,401443    0,768011    4,039723    -0,538874    -0,987093    0,397010
941    3,122906    1,108266    3,356042    0,040772    -0,943996    -0,368170
942    1,316682    0,546707    0,964036    -0,766264    -0,931251    0,479462
943    1,498041    1,787745    2,089163    -0,200805    -0,545220    -0,711735
944    2,716528    1,847392    4,378736    0,835007    -0,972681    -0,939931
945    2,441636    1,042966    2,158078    -0,469669    -0,904410    0,048096
946    1,713306    1,417892    1,567376    -0,512326    -0,629641    -0,344602
947    4,300609    1,580838    3,009034    -0,878127    -0,967897    0,729683
948    5,424225    5,352154    1,524040    -0,960086    -0,187460    -0,094768
949    3,043755    5,055759    2,894223    -0,859363    0,449509    -0,843082
950    2,001250    6,228797    5,185517    -0,638301    0,380791    -0,954851
951    4,986440    6,740611    2,622419    -0,943472    0,523616    -0,776398
952    7,242434    6,370019    2,102040    -0,960361    -0,535155    0,278459
953    7,678605    5,612610    2,549700    -0,974098    -0,867308    0,732282
954    4,947657    4,889544    1,672988    -0,942222    -0,203601    -0,136136
955    7,006277    5,771337    2,058822    -0,966444    -0,693892    0,485637
956    7,499444    4,163132    3,468309    -0,985616    -0,979208    0,930839
957    5,697429    4,268863    1,861526    -0,970716    -0,834571    0,677788
958    6,614609    4,372563    2,771908    -0,954073    -0,881295    0,699249
959    6,616604    4,576647    2,400318    -0,973580    -0,900244    0,777041
960    6,058992    3,685407    2,718404    -0,960685    -0,926455    0,785525
961    7,254673    3,559533    3,907507    -0,968738    -0,974129    0,887611
962    5,357951    3,841676    1,955050    -0,963001    -0,848271    0,674171
963    6,276156    5,096172    2,084400    -0,953847    -0,678943    0,427135
964    8,291671    5,045102    3,365408    -0,990608    -0,978767    0,941548
965    8,995778    5,239739    3,921132    -0,986555    -0,975863    0,927052
966    7,381264    4,691274    2,920997    -0,981284    -0,950974    0,873620
967    6,655564    4,351373    2,523528    -0,981718    -0,944606    0,864867
968    5,166613    0,444097    5,183119    -0,005751    -0,996323    -0,079949
970    5,482244    2,025360    3,699718    -0,921742    -0,977205    0,818402
971    5,435455    1,362596    4,792616    -0,569221    -0,972295    0,361259
972    6,168007    0,759751    5,549937    -0,834344    -0,997149    0,790367
973    5,673611    4,867480    1,704243    -0,959180    -0,589600    0,337119
974    7,783619    5,352816    2,829041    -0,974863    -0,906795    0,790071
975    7,831259    4,865853    3,339765    -0,969028    -0,933033    0,815284
976    4,310694    3,125700    1,826312    -0,928336    -0,771498    0,479694
977    5,554703    2,479863    3,296041    -0,948847    -0,971375    0,846682
978    2,758724    1,031854    2,228353    -0,651606    -0,936280    0,343638
979    4,106076    0,938897    3,907720    -0,320492    -0,973756    0,096493
980    6,637572    3,975114    2,768172    -0,989121    -0,977433    0,935725
981    6,083676    1,056659    5,098679    -0,943561    -0,997642    0,918602
982    6,984974    3,993676    3,179994    -0,979128    -0,966875    0,894815
983    4,548275    4,683274    1,483567    -0,948764    -0,070745    -0,248075
984    2,399740    5,027259    3,356772    -0,819131    0,511873    -0,912055
985    1,430957    5,389586    4,759785    -0,547162    0,318926    -0,967821
986    1,169223    5,900459    5,611818    -0,339907    0,149039    -0,980615
987    1,509139    0,694922    1,584166    -0,119589    -0,900179    -0,324743
988    2,218264    1,022796    1,252941    -0,968989    -0,979444    0,899226
989    1,223667    1,323138    0,515860    -0,920876    -0,010121    -0,380516
990    2,448526    1,962637    0,666667    -0,978321    -0,792654    0,649212
991    4,996570    2,330338    2,702027    -0,991748    -0,993869    0,971494
992    3,157832    2,381176    0,860786    -0,990840    -0,927604    0,868659
993    1,883555    3,845859    2,149345    -0,946918    0,817997    -0,959496
994    3,022928    3,713681    0,779499    -0,994189    0,858463    -0,908686
995    1,179319    0,742155    1,032488    -0,500182    -0,782679    -0,147489
996    3,448510    4,194081    0,783359    -0,998003    0,941069    -0,960555
997    1,253052    1,805701    1,767806    -0,376896    -0,323843    -0,754286
998    2,114829    1,016940    1,594783    -0,688938    -0,886779    0,275928
999    2,975497    1,376209    1,925431    -0,859635    -0,930939    0,613698
1000    3,294288    5,757256    2,721703    -0,964635    0,830129    -0,947741
1001    1,710978    5,418005    4,833264    -0,481213    0,185431    -0,950633
1002    3,925604    5,539321    1,809543    -0,984586    0,844596    -0,925220
1003    2,058586    3,980257    2,198737    -0,930335    0,747878    -0,939213
1004    1,277150    1,573884    0,685890    -0,904881    0,214362    -0,609741
1005    5,401574    5,017204    0,718795    -0,993193    -0,582252    0,483592
1006    1,675348    7,948942    7,491732    -0,370438    0,169419    -0,978189
1007    2,383120    7,883786    6,026976    -0,838537    0,701468    -0,976518
1008    2,859077    5,768871    3,393876    -0,907495    0,700127    -0,935294
1009    1,992858    7,319153    6,348636    -0,590849    0,367269    -0,967400
1010    2,477055    7,358610    5,388144    -0,857291    0,711082    -0,971587
1011    2,167948    6,881645    5,009399    -0,903642    0,808599    -0,982672
1012    5,637233    4,358885    1,339523    -0,996741    -0,964935    0,940617
