WeekNumber    sigma1    sigma2    sigma3    ro12    ro13    ro23
1236    0,001048    0,000889    0,000634    -0,797518    -0,534106    -0,084077
1237    0,000690    0,000698    0,000683    -0,514926    -0,483755    -0,501157
1238    0,001430    0,000922    0,000957    -0,750929    -0,771243    0,158788
1239    0,001256    0,000825    0,001243    -0,343362    -0,782276    -0,316455
1240    0,001599    0,000706    0,001662    -0,130041    -0,907057    -0,299478
1241    0,000989    0,001293    0,001463    -0,199241    -0,499671    -0,749294
1242    0,001125    0,000673    0,000922    -0,573912    -0,801282    -0,030083
1243    0,001685    0,001013    0,000878    -0,906616    -0,873581    0,586645
1244    0,002696    0,001627    0,001161    -0,976491    -0,953341    0,865854
1245    0,001455    0,000912    0,000756    -0,895820    -0,844093    0,517860
1246    0,002126    0,000952    0,001378    -0,871800    -0,940995    0,654581
1247    0,002176    0,001041    0,001315    -0,902267    -0,940018    0,701060
1248    0,002505    0,001373    0,001429    -0,889663    -0,898660    0,599211
1249    0,001186    0,001335    0,000547    -0,912643    0,059995    -0,462775
1250    0,002382    0,002210    0,000661    -0,961285    -0,388655    0,119713
1251    0,001567    0,001326    0,000615    -0,922945    -0,557539    0,195027
1252    0,001066    0,000393    0,001192    0,155962    -0,945506    -0,469083
1253    0,001009    0,000830    0,001094    -0,304797    -0,690987    -0,477860
1254    0,001100    0,001046    0,000654    -0,815369    -0,378212    -0,227556
1255    0,000985    0,000483    0,000901    -0,410404    -0,872404    -0,087687
1256    0,001970    0,001079    0,001320    -0,777212    -0,857513    0,342749
1257    0,001618    0,000902    0,000957    -0,861551    -0,878091    0,513602
1258    0,002525    0,000662    0,002137    -0,671527    -0,973320    0,483590
1259    0,001480    0,001445    0,001069    -0,733106    -0,393418    -0,336852
1260    0,002568    0,001890    0,000972    -0,949894    -0,794298    0,564602
1261    0,003887    0,001162    0,002863    -0,914383    -0,986399    0,835402
1262    0,002712    0,000822    0,002679    -0,192202    -0,953563    -0,112303
1263    0,000953    0,000581    0,000793    -0,557492    -0,793414    -0,062996
1264    0,001531    0,000906    0,001708    -0,088944    -0,849095    -0,450624
1265    0,001480    0,000612    0,001111    -0,734086    -0,927538    0,427108
1266    0,001827    0,000599    0,001537    -0,609764    -0,951103    0,335142
1267    0,001515    0,000581    0,001467    -0,273182    -0,924668    -0,113688
1268    0,001623    0,000519    0,001515    -0,360163    -0,947540    0,043083
1269    0,001044    0,000773    0,000686    -0,753634    -0,672744    0,020688
1270    0,001152    0,001457    0,000783    -0,845026    0,100529    -0,616967
1271    0,002584    0,001736    0,001098    -0,945689    -0,857965    0,644376
1272    0,002336    0,001295    0,001199    -0,941583    -0,931574    0,754717
1273    0,002602    0,001544    0,001313    -0,924925    -0,894515    0,657418
1274    0,001912    0,000951    0,001363    -0,742784    -0,884219    0,344064
1275    0,000974    0,001036    0,000851    -0,642708    -0,361740    -0,481736
1276    0,000968    0,000696    0,001137    -0,094820    -0,793055    -0,531208
1277    0,000523    0,000517    0,000460    -0,608141    -0,454152    -0,431053
1278    0,001297    0,001306    0,000802    -0,810350    -0,297617    -0,318220
1279    0,001720    0,001329    0,000736    -0,915102    -0,684876    0,332919
1280    0,000944    0,000627    0,000820    -0,516402    -0,756268    -0,169736
1281    0,001172    0,000607    0,001273    -0,085011    -0,880116    -0,398220
1282    0,001227    0,000584    0,000894    -0,731817    -0,895346    0,351708
1283    0,001760    0,000962    0,000926    -0,934650    -0,929294    0,737239
1284    0,001178    0,000691    0,000929    -0,615630    -0,810370    0,037164
1285    0,000954    0,000641    0,000838    -0,506464    -0,751454    -0,188322
1286    0,001075    0,000544    0,001097    -0,213764    -0,874559    -0,286761
1287    0,001880    0,000682    0,001551    -0,621690    -0,938821    0,313896
1288    0,001314    0,000565    0,001168    -0,459506    -0,902917    0,033146
1289    0,001155    0,000547    0,001041    -0,434686    -0,881201    -0,042697
1290    0,001419    0,000708    0,001726    0,229662    -0,916776    -0,599274
1291    0,001862    0,000506    0,001671    -0,493492    -0,964769    0,247275
1292    0,002530    0,000556    0,002403    -0,332129    -0,975927    0,118419
1293    0,001447    0,000462    0,001501    -0,040834    -0,951555    -0,268367
1294    0,001198    0,001023    0,000511    -0,905911    -0,530483    0,121599
1295    0,002466    0,001327    0,001331    -0,927777    -0,928304    0,722518
1296    0,001685    0,000798    0,001070    -0,867433    -0,928491    0,620636
1297    0,001204    0,001979    0,001278    -0,783633    0,271889    -0,810883
1298    0,002649    0,000674    0,002184    -0,756652    -0,979437    0,609187
1299    0,002630    0,000955    0,001986    -0,773574    -0,952406    0,543582
1300    0,002634    0,000957    0,002038    -0,733891    -0,947721    0,478771
1301    0,001479    0,000799    0,001738    0,083081    -0,889021    -0,530144
1302    0,001001    0,000602    0,000782    -0,624546    -0,799297    0,029873
1303    0,000493    0,000597    0,000477    -0,631815    -0,241411    -0,599667
1304    0,000915    0,001316    0,000911    -0,721968    0,038758    -0,719389
1305    0,001563    0,001211    0,000915    -0,811686    -0,634290    0,063285
1306    0,001129    0,000708    0,001369    0,061053    -0,856193    -0,567966
1307    0,003562    0,000922    0,003182    -0,519643    -0,968881    0,291989
1308    0,003157    0,000994    0,003919    0,700702    -0,983488    -0,818249
1309    0,003434    0,000700    0,003203    -0,421415    -0,980133    0,233174
1310    0,001549    0,000843    0,000899    -0,881598    -0,896650    0,581512
1311    0,002413    0,000626    0,002255    -0,372663    -0,966312    0,121276
1312    0,001990    0,000737    0,001774    -0,462224    -0,929670    0,103039
1313    0,002589    0,000758    0,002478    -0,290426    -0,956253    -0,002210
1314    0,001971    0,000938    0,001391    -0,765336    -0,900845    0,410022
1315    0,001733    0,001047    0,002135    0,126594    -0,873679    -0,593192
1316    0,003413    0,000636    0,003159    -0,477240    -0,984225    0,314240
1317    0,003343    0,001118    0,002395    -0,895259    -0,978131    0,783010
1318    0,001940    0,000900    0,001325    -0,807043    -0,915954    0,502260
1319    0,002079    0,001019    0,001768    -0,527335    -0,872015    0,043954
1320    0,003571    0,001120    0,002669    -0,860088    -0,976806    0,730903
1321    0,002356    0,000725    0,002016    -0,588506    -0,956794    0,327998
1322    0,003885    0,000944    0,003412    -0,591688    -0,974785    0,396875
1323    0,004155    0,001341    0,003010    -0,897919    -0,980594    0,794202
1324    0,002623    0,000939    0,002030    -0,739221    -0,950298    0,492804
1325    0,001707    0,001063    0,000937    -0,872393    -0,832119    0,454845
1326    0,001283    0,000763    0,000902    -0,722329    -0,810904    0,181059
1327    0,000707    0,000620    0,000731    -0,399014    -0,629351    -0,461457
1328    0,000859    0,000671    0,000740    -0,555383    -0,657518    -0,261381
1329    0,001048    0,000914    0,000880    -0,605064    -0,561962    -0,318545
1330    0,001109    0,000616    0,000852    -0,647010    -0,834006    0,118908
1331    0,001071    0,001075    0,001433    -0,108073    -0,666039    -0,669567
1332    0,001252    0,000769    0,000807    -0,782513    -0,805077    0,260656
1333    0,001184    0,001100    0,000821    -0,744123    -0,445049    -0,267065
1334    0,001058    0,001473    0,001364    -0,458176    -0,280479    -0,724674
1335    0,000998    0,000632    0,000709    -0,707146    -0,776742    0,103946
1336    0,001635    0,000698    0,001561    -0,316359    -0,905681    -0,115666
1337    0,001347    0,000609    0,001475    -0,005248    -0,910768    -0,408133
1338    0,002087    0,000717    0,001882    -0,443171    -0,939913    0,110486
1339    0,001627    0,000833    0,001033    -0,838752    -0,898572    0,514732
1340    0,001923    0,001623    0,000821    -0,906383    -0,550401    0,146164
1341    0,002681    0,000998    0,001833    -0,901496    -0,971841    0,774129
1342    0,002337    0,000828    0,001691    -0,849735    -0,966107    0,684840
1343    0,002320    0,000992    0,001475    -0,910605    -0,960591    0,759842
1344    0,002667    0,000988    0,001859    -0,879746    -0,967524    0,730993
1345    0,002381    0,000876    0,001666    -0,877923    -0,967743    0,728973
1346    0,002946    0,001333    0,001867    -0,887653    -0,944373    0,686825
1347    0,003698    0,001363    0,002482    -0,929673    -0,979313    0,835898
1348    0,004552    0,001844    0,002887    -0,940515    -0,976174    0,844383
1349    0,002740    0,000965    0,001942    -0,882191    -0,972240    0,747520
1350    0,003305    0,001267    0,002157    -0,940188    -0,979762    0,852972
1351    0,002281    0,001246    0,001327    -0,878615    -0,893848    0,571238
1352    0,002512    0,001311    0,001528    -0,864323    -0,902112    0,562697
1353    0,002003    0,001706    0,000562    -0,966649    -0,629011    0,408938
1354    0,001582    0,000773    0,000967    -0,885599    -0,928366    0,649538
1355    0,002477    0,000853    0,001777    -0,877213    -0,973111    0,743041
1356    0,003361    0,000828    0,003227    -0,281639    -0,969207    0,036686
1357    0,002442    0,001107    0,001764    -0,754669    -0,911340    0,417672
1358    0,002086    0,001284    0,002437    -0,011395    -0,849999    -0,517065
1359    0,003178    0,001240    0,003947    0,499879    -0,962270    -0,716681
1360    0,001240    0,001414    0,001523    -0,347211    -0,491941    -0,645657
1361    0,001824    0,001159    0,002020    -0,138682    -0,823036    -0,448361
1362    0,001676    0,001258    0,002382    0,304616    -0,864331    -0,742311
1363    0,001764    0,000669    0,001403    -0,674042    -0,935951    0,370754
1364    0,001573    0,001107    0,000774    -0,890470    -0,759039    0,379648
1365    0,001367    0,001444    0,000836    -0,824682    -0,210879    -0,378969
1366    0,002799    0,001202    0,001737    -0,930675    -0,967430    0,807752
1367    0,001513    0,001433    0,000637    -0,907813    -0,333618    -0,092486
1368    0,001937    0,001286    0,000868    -0,933623    -0,847531    0,601131
1369    0,002581    0,001409    0,001401    -0,919098    -0,918039    0,687540
1370    0,002247    0,000916    0,001614    -0,797870    -0,939648    0,543463
1371    0,002785    0,001090    0,001954    -0,844129    -0,954258    0,645220
1372    0,004079    0,000692    0,003896    -0,342652    -0,986000    0,181203
1373    0,004164    0,000606    0,004365    0,267893    -0,991019    -0,394318
1374    0,002609    0,000761    0,002391    -0,420995    -0,957451    0,141308
1375    0,001927    0,000799    0,001534    -0,648339    -0,918028    0,293306
1376    0,001323    0,001059    0,000905    -0,732373    -0,604736    -0,099398
1377    0,001133    0,000973    0,000778    -0,737116    -0,534639    -0,176986
1378    0,001623    0,000677    0,001166    -0,788662    -0,934121    0,517240
1379    0,001150    0,000526    0,001028    -0,449146    -0,889441    -0,008866
1380    0,001061    0,000907    0,001181    -0,287762    -0,677578    -0,509361
1381    0,001161    0,001108    0,001537    -0,082478    -0,695814    -0,658386
1382    0,000876    0,000708    0,000589    -0,743060    -0,593012    -0,098212
1383    0,000809    0,000656    0,000809    -0,405389    -0,671053    -0,405717
1384    0,000795    0,000778    0,000858    -0,404704    -0,559597    -0,531391
1385    0,001521    0,000861    0,000944    -0,826254    -0,857722    0,419097
1386    0,001103    0,000631    0,000806    -0,693266    -0,825483    0,165506
1387    0,001639    0,000958    0,001148    -0,728563    -0,820583    0,206362
1388    0,001409    0,000939    0,001186    -0,552092    -0,751266    -0,135529
1389    0,000997    0,000886    0,000940    -0,506793    -0,583320    -0,404586
1390    0,001222    0,000738    0,001291    -0,206633    -0,828920    -0,376014
1391    0,001088    0,000734    0,000541    -0,894883    -0,795901    0,442037
1392    0,001686    0,000699    0,001858    0,050469    -0,926759    -0,421950
1393    0,001089    0,000765    0,000676    -0,789017    -0,718665    0,139832
1394    0,001714    0,001096    0,000858    -0,905983    -0,841228    0,533262
1395    0,002162    0,001584    0,000903    -0,929792    -0,763498    0,472180
1396    0,003778    0,001343    0,002537    -0,950273    -0,986309    0,885909
1397    0,002757    0,001031    0,001863    -0,913479    -0,974339    0,798455
1398    0,001504    0,001125    0,000793    -0,856822    -0,681441    0,206511
1399    0,002211    0,001577    0,000898    -0,942091    -0,808385    0,564164
