W/N    s1 (IGS-EU0) s2 (EU0_MA1) s3 (IGS-MA1)  ro12       ro13        ro23
1236    3,582106    1,470500    2,307460    -0,917846    -0,967477    0,787585
1237    3,731388    1,471255    2,453508    -0,916983    -0,970966    0,794928
1238    5,163791    1,331443    3,993365    -0,908362    -0,990232    0,841183
1239    4,567826    1,039195    5,417496    0,779915    -0,992767    -0,849417
1240    2,626701    2,131458    1,249000    -0,882586    -0,596883    0,149584
1241    3,113614    1,092669    3,825751    0,550806    -0,971172    -0,733887
1242    3,355416    1,529682    2,011835    -0,930429    -0,960394    0,791464
1243    1,533261    1,138615    1,983431    0,082102    -0,820166    -0,637531
1244    1,393105    1,454979    1,906849    -0,104007    -0,651219    -0,687043
1245    2,483844    2,879146    0,937688    -0,949450    0,266360    -0,555472
1246    1,482141    0,520754    1,478914    -0,181867    -0,938143    -0,169856
1247    1,156655    0,662543    1,167746    -0,269586    -0,837548    -0,300344
1248    1,368211    0,865640    1,386603    -0,294951    -0,802601    -0,333250
1249    2,292379    0,584701    2,032394    -0,546963    -0,970564    0,329240
1250    1,335675    0,763944    1,485859    -0,078334    -0,858649    -0,443727
1251    1,672490    0,553900    1,332500    -0,717014    -0,957100    0,484276
1252    2,186491    2,021734    1,307018    -0,809846    -0,420191    -0,192050
1253    3,884755    1,448730    2,738207    -0,861090    -0,963137    0,692567
1254    1,902575    1,549059    2,962790    0,468029    -0,886860    -0,823386
1255    1,353981    1,206032    1,909661    0,109933    -0,778443    -0,709487
1256    1,544524    1,094367    0,984322    -0,773337    -0,709331    0,101664
1257    1,542252    0,816114    1,336195    -0,500204    -0,848700    -0,033433
1258    1,406557    1,585831    2,317251    0,196450    -0,741436    -0,803603
1259    1,686592    0,635552    1,554468    -0,388159    -0,926296    0,012296
1260    2,044726    1,927019    1,152112    -0,833321    -0,380953    -0,193650
1261    2,316622    1,512816    3,344596    0,503759    -0,920505    -0,801244
1262    1,346962    1,921624    2,082700    -0,225878    -0,438329    -0,776576
1263    3,496635    1,719314    1,916051    -0,957386    -0,965835    0,849828
1264    1,653112    2,562605    1,520919    -0,824608    0,302471    -0,788626
1265    1,892199    1,467779    0,981814    -0,858889    -0,643238    0,160325
1266    1,393188    1,110712    1,164015    -0,587982    -0,635825    -0,250463
1267    1,641772    1,702877    1,004262    -0,820296    -0,243869    -0,354626
1268    1,194490    1,196233    1,182394    -0,510790    -0,493462    -0,495689
1269    2,423840    1,382027    1,347683    -0,890908    -0,884912    0,576835
1270    1,728459    0,621211    1,433769    -0,613641    -0,939662    0,306494
1271    1,267900    0,562423    1,128728    -0,455662    -0,896252    0,013565
1272    1,006989    0,549684    0,951570    -0,370980    -0,843939    -0,185074
1273    1,113802    0,835747    0,981991    -0,523562    -0,688639    -0,257234
1274    2,012064    0,757096    1,601974    -0,674602    -0,937173    0,374692
1275    3,275201    0,808720    2,868265    -0,595387    -0,974003    0,397904
1276    3,808844    0,641775    3,963689    0,161933    -0,987153    -0,317521
1277    3,768620    1,133487    2,728591    -0,941325    -0,990123    0,884710
1278    4,047093    1,497011    2,729469    -0,921839    -0,977146    0,818385
1279    3,964329    0,927848    4,223578    0,171520    -0,976299    -0,380675
1280    3,474061    0,985274    3,347346    -0,268068    -0,958951    -0,016129
1281    5,147153    1,318023    4,269513    -0,737141    -0,978000    0,579962
1282    5,263442    1,149215    4,262734    -0,897167    -0,992885    0,838188
1283    4,816292    0,629649    4,888315    0,049875    -0,991690    -0,177947
1284    4,603944    1,004803    4,867975    0,161180    -0,979031    -0,358849
1285    3,976266    1,045559    4,276860    0,166887    -0,970515    -0,399626
1286    3,053402    0,767798    3,438103    0,406880    -0,978971    -0,584673
1287    2,551266    1,727112    1,284280    -0,889914    -0,789769    0,423036
1288    2,578140    1,163657    1,673673    -0,866600    -0,937886    0,639647
1289    3,219504    1,096966    2,383057    -0,833821    -0,967175    0,666171
1290    2,200679    0,905692    1,718910    -0,679485    -0,922256    0,343028
1291    2,160777    1,672137    1,004988    -0,893273    -0,663791    0,256748
1292    1,368647    1,755606    1,874518    -0,299968    -0,449194    -0,717548
1293    2,443913    2,010752    1,208477    -0,870496    -0,573912    0,096538
1294    3,387303    1,484737    2,020434    -0,954029    -0,975444    0,864591
1295    1,936970    1,457268    1,132385    -0,813620    -0,663473    0,104814
1296    2,671912    1,739029    1,273578    -0,919108    -0,842944    0,562783
1297    2,505845    0,507207    2,728682    0,357670    -0,984819    -0,514341
1298    0,996773    1,960102    1,856640    -0,355323    -0,161745    -0,864963
1299    1,074037    1,951068    1,496143    -0,649428    0,129026    -0,837860
1300    1,598309    2,115008    1,204867    -0,824767    0,121242    -0,661297
1301    1,662194    1,391562    0,982174    -0,807305    -0,548558    -0,050566
1302    3,641611    1,557491    2,186524    -0,961447    -0,980628    0,888956
1303    2,830292    0,660440    2,461269    -0,639001    -0,978467    0,466475
1304    1,538470    0,982853    2,294438    0,638704    -0,944119    -0,856628
1305    2,073527    0,882901    1,553401    -0,728122    -0,920990    0,403553
1306    2,828231    1,355749    1,649663    -0,927865    -0,951878    0,768924
1307    1,619735    0,872974    2,005461    0,224984    -0,905597    -0,617010
1308    1,725946    2,598744    3,669771    0,416345    -0,765149    -0,903962
1309    1,913016    1,530601    2,815565    0,328722    -0,858143    -0,766969
1310    1,792655    0,735886    1,261558    -0,820053    -0,942636    0,581969
1311    1,663121    1,243874    2,053080    -0,023700    -0,795703    -0,586659
1312    1,302226    2,394057    2,182143    -0,427501    -0,127749    -0,841995
1313    1,560057    1,887620    2,703167    0,222464    -0,732469    -0,826689
1314    1,210859    1,856501    1,828402    -0,349143    -0,307741    -0,784148
1315    1,182071    2,995587    2,742110    -0,402664    0,008805    -0,918858
1316    1,735235    1,962619    3,338725    0,628987    -0,889471    -0,914739
1317    1,600139    1,025020    2,102908    0,247264    -0,881441    -0,675577
1318    1,783754    1,295977    1,050714    -0,812676    -0,695284    0,146222
1319    1,960839    2,003608    1,622960    -0,665012    -0,387203    -0,431081
1320    1,218577    1,206464    2,113137    0,518600    -0,872755    -0,869995
1321    1,476130    1,704528    0,900347    -0,849279    -0,031665    -0,500787
